File,WaveData20250407_004.csv,
Date/Time,25-04-07/21:26,

Trace,A
Center Wavelength,1549.5,nm
Span Wavelength,10,nm
Start Wavelength,1544.5,nm
Stop Wavelength,1554.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,100,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544.5,nm
Stop,1554.5,nm

Wavelength(A),Level(A)
1544.500000,7.0390E-010
1544.520000,-8.3310E-010
1544.540000,-2.3560E-010
1544.560000,7.4220E-010
1544.580000,-1.0200E-009
1544.600000,1.5770E-009
1544.620000,7.9160E-010
1544.640000,1.5750E-010
1544.660000,3.8190E-011
1544.680000,1.5560E-009
1544.700000,9.7100E-011
1544.720000,1.1600E-009
1544.740000,1.9710E-009
1544.760000,9.0570E-010
1544.780000,-7.4960E-010
1544.800000,1.7830E-009
1544.820000,1.2870E-009
1544.840000,4.1690E-010
1544.860000,1.4270E-009
1544.880000,-4.7750E-010
1544.900000,-1.1300E-010
1544.920000,3.7240E-010
1544.940000,2.2950E-009
1544.960000,9.6460E-010
1544.980000,1.1900E-009
1545.000000,-2.9760E-010
1545.020000,6.3670E-010
1545.040000,1.8130E-010
1545.060000,1.2790E-009
1545.080000,6.0490E-010
1545.100000,-2.7850E-010
1545.120000,8.3100E-010
1545.140000,-1.0180E-010
1545.160000,1.9750E-009
1545.180000,4.2010E-010
1545.200000,2.2050E-009
1545.220000,-1.3600E-009
1545.240000,7.1100E-010
1545.260000,3.5140E-010
1545.280000,-1.5190E-009
1545.300000,1.5000E-009
1545.320000,8.7970E-010
1545.340000,-2.3530E-010
1545.360000,-3.8660E-010
1545.380000,1.3650E-009
1545.400000,1.1910E-009
1545.420000,8.0010E-010
1545.440000,2.6560E-010
1545.460000,1.4770E-009
1545.480000,7.7470E-010
1545.500000,5.5680E-010
1545.520000,1.3850E-009
1545.540000,1.1050E-009
1545.560000,7.6990E-010
1545.580000,1.9330E-009
1545.600000,1.3340E-009
1545.620000,6.4580E-010
1545.640000,5.9810E-010
1545.660000,6.5060E-010
1545.680000,1.0300E-009
1545.700000,3.4540E-009
1545.720000,1.9420E-009
1545.740000,9.6240E-010
1545.760000,2.1460E-010
1545.780000,7.0260E-010
1545.800000,7.3280E-010
1545.820000,1.1590E-009
1545.840000,2.4520E-009
1545.860000,1.9700E-009
1545.880000,8.0590E-010
1545.900000,2.0110E-009
1545.920000,4.1660E-009
1545.940000,1.6380E-009
1545.960000,1.6540E-009
1545.980000,7.4240E-010
1546.000000,1.1840E-009
1546.020000,1.6600E-009
1546.040000,1.9030E-009
1546.060000,5.2770E-010
1546.080000,2.3390E-009
1546.100000,2.3000E-009
1546.120000,1.1300E-009
1546.140000,1.3990E-009
1546.160000,3.6890E-009
1546.180000,2.9110E-009
1546.200000,3.4660E-009
1546.220000,2.9770E-009
1546.240000,3.2880E-009
1546.260000,3.2530E-009
1546.280000,2.4690E-009
1546.300000,3.1530E-009
1546.320000,3.5680E-009
1546.340000,1.3000E-009
1546.360000,4.2490E-009
1546.380000,2.5820E-009
1546.400000,4.0480E-009
1546.420000,3.8470E-009
1546.440000,1.9120E-009
1546.460000,3.4660E-009
1546.480000,3.2480E-009
1546.500000,2.6040E-009
1546.520000,3.6470E-009
1546.540000,4.0620E-009
1546.560000,5.1300E-009
1546.580000,5.3820E-009
1546.600000,4.5920E-009
1546.620000,3.7640E-009
1546.640000,4.5890E-009
1546.660000,5.0110E-009
1546.680000,4.4810E-009
1546.700000,4.7460E-009
1546.720000,3.8850E-009
1546.740000,5.4590E-009
1546.760000,4.3320E-009
1546.780000,3.0900E-009
1546.800000,5.6270E-009
1546.820000,5.4880E-009
1546.840000,5.3170E-009
1546.860000,5.1000E-009
1546.880000,5.4290E-009
1546.900000,4.6160E-009
1546.920000,5.9590E-009
1546.940000,4.5830E-009
1546.960000,3.8760E-009
1546.980000,5.4880E-009
1547.000000,3.7910E-009
1547.020000,5.8890E-009
1547.040000,5.0850E-009
1547.060000,5.9140E-009
1547.080000,6.4820E-009
1547.100000,5.6870E-009
1547.120000,4.9070E-009
1547.140000,2.9660E-009
1547.160000,5.9940E-009
1547.180000,4.5450E-009
1547.200000,5.9270E-009
1547.220000,6.9160E-009
1547.240000,6.2280E-009
1547.260000,7.1870E-009
1547.280000,5.6960E-009
1547.300000,6.0720E-009
1547.320000,6.9430E-009
1547.340000,6.8110E-009
1547.360000,6.2090E-009
1547.380000,7.7280E-009
1547.400000,7.0320E-009
1547.420000,8.3980E-009
1547.440000,7.8240E-009
1547.460000,6.6490E-009
1547.480000,7.9920E-009
1547.500000,8.6270E-009
1547.520000,8.5670E-009
1547.540000,8.6780E-009
1547.560000,8.1390E-009
1547.580000,6.8690E-009
1547.600000,8.9470E-009
1547.620000,9.9110E-009
1547.640000,6.9140E-009
1547.660000,9.7090E-009
1547.680000,8.3260E-009
1547.700000,1.1460E-008
1547.720000,8.1880E-009
1547.740000,1.0710E-008
1547.760000,1.0930E-008
1547.780000,1.1670E-008
1547.800000,1.1830E-008
1547.820000,1.1620E-008
1547.840000,1.2820E-008
1547.860000,1.1860E-008
1547.880000,1.2510E-008
1547.900000,1.3730E-008
1547.920000,1.3780E-008
1547.940000,1.3920E-008
1547.960000,1.3800E-008
1547.980000,1.6240E-008
1548.000000,1.5040E-008
1548.020000,1.4980E-008
1548.040000,1.8430E-008
1548.060000,1.6660E-008
1548.080000,1.8530E-008
1548.100000,1.7490E-008
1548.120000,2.0500E-008
1548.140000,1.9530E-008
1548.160000,2.0020E-008
1548.180000,2.0190E-008
1548.200000,2.1990E-008
1548.220000,2.2760E-008
1548.240000,2.2340E-008
1548.260000,2.6780E-008
1548.280000,2.8520E-008
1548.300000,3.0230E-008
1548.320000,2.9790E-008
1548.340000,3.0430E-008
1548.360000,3.2330E-008
1548.380000,3.3600E-008
1548.400000,3.2840E-008
1548.420000,3.5560E-008
1548.440000,3.5210E-008
1548.460000,3.3390E-008
1548.480000,3.8970E-008
1548.500000,3.9800E-008
1548.520000,3.8760E-008
1548.540000,4.0930E-008
1548.560000,4.3110E-008
1548.580000,4.4590E-008
1548.600000,4.3990E-008
1548.620000,4.7720E-008
1548.640000,4.6230E-008
1548.660000,4.8930E-008
1548.680000,5.0560E-008
1548.700000,5.3590E-008
1548.720000,5.4080E-008
1548.740000,5.2130E-008
1548.760000,5.8190E-008
1548.780000,5.7910E-008
1548.800000,6.3670E-008
1548.820000,6.0610E-008
1548.840000,6.2710E-008
1548.860000,6.6450E-008
1548.880000,6.7690E-008
1548.900000,6.5900E-008
1548.920000,6.8410E-008
1548.940000,7.2480E-008
1548.960000,7.4240E-008
1548.980000,7.3560E-008
1549.000000,7.2230E-008
1549.020000,7.7510E-008
1549.040000,7.7900E-008
1549.060000,8.1270E-008
1549.080000,8.3060E-008
1549.100000,8.4290E-008
1549.120000,8.5510E-008
1549.140000,8.8310E-008
1549.160000,9.2190E-008
1549.180000,9.3420E-008
1549.200000,9.6260E-008
1549.220000,1.0250E-007
1549.240000,9.9930E-008
1549.260000,9.7190E-008
1549.280000,9.9220E-008
1549.300000,9.7250E-008
1549.320000,1.0110E-007
1549.340000,1.0420E-007
1549.360000,1.0480E-007
1549.380000,1.0450E-007
1549.400000,1.0390E-007
1549.420000,1.0510E-007
1549.440000,1.0550E-007
1549.460000,1.0850E-007
1549.480000,1.0750E-007
1549.500000,1.0840E-007
1549.520000,1.0930E-007
1549.540000,1.0820E-007
1549.560000,1.0400E-007
1549.580000,1.0360E-007
1549.600000,1.0580E-007
1549.620000,1.0500E-007
1549.640000,1.0210E-007
1549.660000,9.9490E-008
1549.680000,9.9270E-008
1549.700000,9.2480E-008
1549.720000,9.2750E-008
1549.740000,8.7160E-008
1549.760000,8.7120E-008
1549.780000,8.7900E-008
1549.800000,8.1270E-008
1549.820000,7.8840E-008
1549.840000,7.6430E-008
1549.860000,7.5390E-008
1549.880000,7.3370E-008
1549.900000,7.0160E-008
1549.920000,7.4840E-008
1549.940000,6.7160E-008
1549.960000,6.6420E-008
1549.980000,6.2530E-008
1550.000000,6.0730E-008
1550.020000,5.8720E-008
1550.040000,5.5600E-008
1550.060000,5.2490E-008
1550.080000,4.9860E-008
1550.100000,4.8300E-008
1550.120000,4.6030E-008
1550.140000,4.6200E-008
1550.160000,4.1420E-008
1550.180000,4.3670E-008
1550.200000,4.2930E-008
1550.220000,4.2170E-008
1550.240000,3.8720E-008
1550.260000,3.6860E-008
1550.280000,3.5450E-008
1550.300000,3.5220E-008
1550.320000,3.5200E-008
1550.340000,2.9140E-008
1550.360000,3.3400E-008
1550.380000,2.9960E-008
1550.400000,2.7940E-008
1550.420000,2.9290E-008
1550.440000,2.8760E-008
1550.460000,2.6710E-008
1550.480000,3.0090E-008
1550.500000,2.6400E-008
1550.520000,2.6460E-008
1550.540000,2.3570E-008
1550.560000,2.1030E-008
1550.580000,2.2240E-008
1550.600000,2.3290E-008
1550.620000,2.3460E-008
1550.640000,2.3250E-008
1550.660000,2.1330E-008
1550.680000,2.0820E-008
1550.700000,2.2340E-008
1550.720000,2.1150E-008
1550.740000,2.1410E-008
1550.760000,2.1710E-008
1550.780000,2.0730E-008
1550.800000,1.8580E-008
1550.820000,1.9180E-008
1550.840000,1.6100E-008
1550.860000,1.8970E-008
1550.880000,1.5730E-008
1550.900000,1.4530E-008
1550.920000,1.5370E-008
1550.940000,1.4050E-008
1550.960000,1.3520E-008
1550.980000,1.3560E-008
1551.000000,1.3410E-008
1551.020000,1.1820E-008
1551.040000,1.2340E-008
1551.060000,1.3900E-008
1551.080000,1.2660E-008
1551.100000,1.1960E-008
1551.120000,1.0650E-008
1551.140000,1.1370E-008
1551.160000,1.0930E-008
1551.180000,1.0710E-008
1551.200000,9.2270E-009
1551.220000,9.8210E-009
1551.240000,1.1530E-008
1551.260000,1.2340E-008
1551.280000,9.9330E-009
1551.300000,8.3460E-009
1551.320000,6.9040E-009
1551.340000,1.0330E-008
1551.360000,8.1410E-009
1551.380000,8.0670E-009
1551.400000,8.8430E-009
1551.420000,7.3480E-009
1551.440000,6.8520E-009
1551.460000,5.5970E-009
1551.480000,5.9480E-009
1551.500000,7.5390E-009
1551.520000,7.1840E-009
1551.540000,6.6060E-009
1551.560000,6.1770E-009
1551.580000,4.7570E-009
1551.600000,6.9120E-009
1551.620000,6.6980E-009
1551.640000,4.5910E-009
1551.660000,5.8500E-009
1551.680000,6.1030E-009
1551.700000,6.2660E-009
1551.720000,5.7320E-009
1551.740000,4.6940E-009
1551.760000,4.7430E-009
1551.780000,3.5550E-009
1551.800000,6.1460E-009
1551.820000,4.3620E-009
1551.840000,6.1140E-009
1551.860000,2.8910E-009
1551.880000,5.0920E-009
1551.900000,4.3840E-009
1551.920000,2.3550E-009
1551.940000,4.2430E-009
1551.960000,3.8360E-009
1551.980000,4.4390E-009
1552.000000,5.1550E-009
1552.020000,4.5660E-009
1552.040000,3.6070E-009
1552.060000,3.3140E-009
1552.080000,2.5540E-009
1552.100000,4.8200E-009
1552.120000,4.2610E-009
1552.140000,4.0000E-009
1552.160000,3.4580E-009
1552.180000,3.1500E-009
1552.200000,2.5500E-009
1552.220000,3.2650E-009
1552.240000,3.5280E-009
1552.260000,2.4470E-009
1552.280000,3.1830E-009
1552.300000,4.7700E-009
1552.320000,2.2720E-009
1552.340000,3.4150E-009
1552.360000,3.8750E-009
1552.380000,2.8170E-009
1552.400000,3.0470E-009
1552.420000,1.8860E-009
1552.440000,2.7900E-009
1552.460000,1.9350E-009
1552.480000,3.1360E-009
1552.500000,2.9480E-009
1552.520000,1.1190E-009
1552.540000,4.0970E-009
1552.560000,2.1550E-009
1552.580000,2.7660E-009
1552.600000,3.1340E-009
1552.620000,2.4670E-009
1552.640000,2.0350E-009
1552.660000,2.3240E-009
1552.680000,2.9950E-009
1552.700000,2.0730E-009
1552.720000,2.2230E-009
1552.740000,1.5730E-009
1552.760000,2.9460E-009
1552.780000,2.8830E-009
1552.800000,2.6300E-009
1552.820000,3.4300E-009
1552.840000,2.5610E-009
1552.860000,2.6790E-009
1552.880000,5.0400E-010
1552.900000,1.6820E-009
1552.920000,1.7350E-009
1552.940000,2.2700E-009
1552.960000,1.4120E-009
1552.980000,3.2820E-009
1553.000000,1.8020E-009
1553.020000,2.3210E-009
1553.040000,1.7070E-009
1553.060000,-1.3910E-009
1553.080000,2.5840E-009
1553.100000,1.7990E-009
1553.120000,2.2610E-009
1553.140000,2.5910E-009
1553.160000,2.1900E-009
1553.180000,7.1620E-010
1553.200000,6.4900E-010
1553.220000,2.0460E-009
1553.240000,7.5790E-010
1553.260000,1.4080E-009
1553.280000,1.4240E-009
1553.300000,-1.0340E-009
1553.320000,7.8020E-010
1553.340000,2.4770E-010
1553.360000,1.2990E-009
1553.380000,-1.7730E-010
1553.400000,1.3150E-009
1553.420000,1.3390E-009
1553.440000,1.2970E-009
1553.460000,7.5740E-010
1553.480000,1.4550E-009
1553.500000,1.1320E-009
1553.520000,1.3950E-009
1553.540000,2.2410E-009
1553.560000,-1.6130E-009
1553.580000,2.3780E-009
1553.600000,1.9810E-010
1553.620000,2.5400E-010
1553.640000,8.1330E-010
1553.660000,-3.2740E-010
1553.680000,3.7060E-010
1553.700000,9.9060E-010
1553.720000,-2.9210E-010
