File,WaveData20250407_005.csv,
Date/Time,25-04-07/21:30,

Trace,A
Center Wavelength,775.16,nm
Span Wavelength,10,nm
Start Wavelength,770.16,nm
Stop Wavelength,780.16,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.05,nm
Actual Resolution,0.049,nm
VBW,100,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,770.16,nm
Stop,780.16,nm

Wavelength(A),Level(A)
770.160000,-1.7650E-007
770.180000,2.2750E-007
770.200000,1.1770E-007
770.220000,4.3750E-007
770.240000,4.7770E-008
770.260000,-1.7060E-007
770.280000,4.3260E-008
770.300000,-1.9560E-008
770.320000,-1.1800E-007
770.340000,-1.4740E-007
770.360000,3.8120E-008
770.380000,2.7110E-007
770.400000,-2.3060E-008
770.420000,-9.0970E-008
770.440000,9.4510E-008
770.460000,1.5880E-007
770.480000,1.9980E-007
770.500000,-2.4110E-007
770.520000,-4.2560E-008
770.540000,1.1900E-007
770.560000,3.5450E-007
770.580000,-1.9520E-008
770.600000,3.2930E-008
770.620000,-8.6030E-008
770.640000,7.4200E-008
770.660000,2.5270E-007
770.680000,-1.2880E-007
770.700000,1.0070E-007
770.720000,3.4120E-007
770.740000,1.8630E-007
770.760000,2.5950E-007
770.780000,1.2780E-007
770.800000,-1.4380E-008
770.820000,-1.3540E-007
770.840000,-1.4910E-007
770.860000,2.6740E-007
770.880000,-8.8130E-008
770.900000,3.2530E-007
770.920000,-1.0180E-007
770.940000,2.0300E-007
770.960000,4.8350E-007
770.980000,7.5330E-008
771.000000,-4.1490E-008
771.020000,-9.6360E-008
771.040000,-4.2420E-008
771.060000,2.4340E-007
771.080000,-2.7100E-008
771.100000,1.5110E-007
771.120000,2.4070E-007
771.140000,5.0690E-008
771.160000,4.3480E-007
771.180000,2.7380E-007
771.200000,3.2600E-007
771.220000,3.4340E-007
771.240000,4.9670E-008
771.260000,-1.2900E-007
771.280000,2.6660E-007
771.300000,5.6340E-008
771.320000,8.3110E-008
771.340000,3.6960E-007
771.360000,-1.1360E-007
771.380000,3.1730E-007
771.400000,1.6160E-007
771.420000,1.4690E-007
771.440000,1.2340E-007
771.460000,-3.1150E-007
771.480000,2.4560E-007
771.500000,7.3780E-008
771.520000,-7.7600E-008
771.540000,1.4240E-007
771.560000,7.1190E-008
771.580000,1.7670E-007
771.600000,9.9780E-008
771.620000,1.3500E-007
771.640000,2.1600E-007
771.660000,-6.1330E-008
771.680000,3.6940E-007
771.700000,3.0320E-007
771.720000,-1.0510E-007
771.740000,-1.0540E-007
771.760000,1.7780E-007
771.780000,2.2950E-007
771.800000,5.4260E-008
771.820000,3.9350E-007
771.840000,4.7590E-008
771.860000,1.3950E-008
771.880000,3.2410E-007
771.900000,2.4350E-007
771.920000,4.6980E-007
771.940000,-1.0970E-007
771.960000,-8.6580E-008
771.980000,3.8010E-008
772.000000,2.5920E-007
772.020000,3.1630E-007
772.040000,3.9650E-007
772.060000,4.0870E-008
772.080000,2.0970E-007
772.100000,1.1270E-007
772.120000,2.9770E-007
772.140000,-2.3880E-007
772.160000,-1.7380E-007
772.180000,2.6870E-007
772.200000,1.4680E-007
772.220000,1.2310E-007
772.240000,-9.9680E-008
772.260000,5.6360E-007
772.280000,-1.8350E-007
772.300000,2.1610E-007
772.320000,8.7260E-008
772.340000,4.0480E-007
772.360000,2.4790E-007
772.380000,1.4950E-007
772.400000,3.7410E-007
772.420000,4.8670E-008
772.440000,-2.2130E-009
772.460000,9.0360E-008
772.480000,7.6120E-008
772.500000,1.6360E-007
772.520000,6.2510E-008
772.540000,-2.1440E-007
772.560000,5.8400E-008
772.580000,-5.1140E-008
772.600000,1.0440E-007
772.620000,-3.5050E-007
772.640000,1.6530E-007
772.660000,1.8140E-007
772.680000,2.2120E-007
772.700000,3.7210E-008
772.720000,-1.9550E-007
772.740000,-2.3340E-008
772.760000,7.9170E-008
772.780000,1.3240E-007
772.800000,-1.3740E-007
772.820000,1.9290E-007
772.840000,2.7830E-007
772.860000,3.0030E-007
772.880000,4.0650E-008
772.900000,1.4020E-007
772.920000,3.4560E-007
772.940000,-4.4040E-007
772.960000,-1.4800E-008
772.980000,3.4600E-007
773.000000,-6.9240E-008
773.020000,1.6930E-007
773.040000,2.4960E-007
773.060000,-1.4100E-007
773.080000,-1.6350E-008
773.100000,2.8940E-008
773.120000,3.3820E-007
773.140000,2.2010E-007
773.160000,1.2950E-007
773.180000,-5.1240E-008
773.200000,3.2980E-008
773.220000,-1.4610E-007
773.240000,2.7340E-008
773.260000,2.7120E-007
773.280000,-2.1330E-007
773.300000,2.7020E-007
773.320000,3.7490E-007
773.340000,-3.4540E-009
773.360000,2.8390E-007
773.380000,4.6770E-008
773.400000,3.3270E-008
773.420000,1.0860E-007
773.440000,1.6880E-007
773.460000,2.4040E-007
773.480000,2.0830E-007
773.500000,-8.4710E-009
773.520000,1.7260E-008
773.540000,4.4130E-007
773.560000,2.6530E-007
773.580000,4.3140E-007
773.600000,2.6970E-008
773.620000,2.3510E-007
773.640000,1.7710E-007
773.660000,9.5600E-008
773.680000,1.5780E-007
773.700000,1.6760E-007
773.720000,2.0700E-007
773.740000,1.7660E-007
773.760000,1.5810E-007
773.780000,3.0190E-007
773.800000,3.5300E-007
773.820000,5.3620E-007
